RMP,V_peak,APD40,APD90,Tri9040,dVdt_max,qNet,Ca_diast,Ca_peak,CTD50,CTD90,EMw90,Tttp,T_peak,Trt50,Trt90,dTdt_max,dTdt_min
-88.6194,38.44,172.1768,237.1044,64.9277,405.926,-0.0114,72.5054,506.3188,201.8653,351.5855,114.481,175.1332,28.2277,111.1953,221.8906,0.2914,-0.1768
-88.39,35.3251,176.8671,252.4668,75.5997,365.2699,-0.0213,79.2067,522.6862,209.472,377.4557,124.9889,179.1656,30.3284,120.7697,235.0511,0.3073,-0.1758
-88.2026,39.8109,166.0756,268.6941,102.6185,432.5467,0.0026,82.3687,505.9999,204.6457,376.5466,107.8525,173.604,27.6192,122.9301,236.194,0.2901,-0.1562
-88.8961,30.0485,253.1855,328.9128,75.7273,310.8888,-0.1328,72.4992,577.9818,190.8374,342.9646,14.0518,172.7271,34.0485,119.5577,228.5765,0.3577,-0.1971
-87.8063,40.4414,135.862,221.2274,85.3653,427.9942,0.0528,91.9246,535.6973,187.2359,359.573,138.3456,170.4818,29.8728,117.2042,235.4261,0.3176,-0.1712
-88.6092,41.8147,188.6877,269.3142,80.6265,452.7339,-0.0324,76.4715,435.9687,171.4299,311.3139,41.9996,151.4398,17.6087,106.2574,214.0288,0.2156,-0.11
-88.1976,36.6023,149.9806,251.4147,101.4341,382.4343,0.0569,78.861,482.3214,197.3061,378.9686,127.5539,169.4866,24.7375,117.2051,236.5578,0.2664,-0.1425
-88.5943,26.6146,253.3977,345.1338,91.7361,248.1935,-0.0936,69.0279,496.4194,228.9326,393.5347,48.4009,184.803,28.5569,126.4371,238.5694,0.2822,-0.1572
-88.901,36.0917,178.8206,253.0206,74.1999,380.6258,-0.0232,76.5429,580.5076,210.2651,394.7318,141.7112,181.6763,36.1613,127.6826,246.9032,0.3615,-0.1985
-88.5884,41.5733,151.9518,214.1408,62.189,449.4513,0.0489,82.8369,525.5386,147.001,273.1118,58.9709,148.6072,24.4975,97.9688,200.8073,0.2994,-0.171
-89.0209,38.2121,201.4827,298.2589,96.7762,406.6804,-0.0525,81.6566,599.1388,194.7424,360.1617,61.9027,176.0661,36.4262,124.2374,236.4729,0.3766,-0.2064
-88.63,33.4419,206.1973,320.1989,114.0016,348.8271,-0.0311,76.476,577.7758,183.435,352.4416,32.2426,168.5446,32.9226,119.0222,230.8306,0.3554,-0.1905
-88.2688,22.0536,218.7246,309.8524,91.1278,245.2481,-0.0309,74.1882,516.5932,193.4923,362.8835,53.031,167.2327,27.6166,119.1266,232.0369,0.2993,-0.1603
-88.7295,31.0555,205.062,279.4806,74.4186,325.378,-0.0684,76.0216,544.5734,213.9449,381.1073,101.6267,181.4964,32.8905,124.5653,236.7658,0.3286,-0.1882
-88.8807,33.1797,211.3366,269.0313,57.6947,346.5602,-0.0604,68.436,435.8259,203.6113,340.7717,71.7404,165.9896,19.9327,112.9792,219.3919,0.22,-0.1247
-88.6492,32.0755,199.1966,265.5396,66.343,336.0388,-0.0231,74.1115,539.191,158.3003,292.8562,27.3166,153.7384,26.7206,103.5906,206.8443,0.3151,-0.1768
-88.4976,38.2615,202.7565,275.4942,72.7377,414.4141,-0.0355,71.8853,446.6113,156.9274,291.6983,16.2041,146.5117,17.7959,100.7649,204.6244,0.2244,-0.1158
-87.9103,34.5759,165.4823,259.6357,94.1533,368.4435,0.023,81.727,533.9907,180.3881,331.7241,72.0884,166.9537,29.0421,110.4496,219.9863,0.3158,-0.181
-88.4521,36.5909,176.5918,240.3769,63.7851,384.9599,-0.0102,68.6305,493.503,187.5836,323.3271,82.9501,166.1067,25.5226,106.1231,207.8859,0.2776,-0.1701
-88.8917,36.5773,237.4146,338.1652,100.7506,386.136,-0.0982,64.7463,449.4708,250.976,409.4027,71.2375,190.8006,24.509,129.1007,238.5101,0.2344,-0.1369
-88.4279,35.6242,237.6965,352.1399,114.4434,379.6299,-0.1019,68.3508,456.5593,229.2308,387.8594,35.7194,179.2266,23.5934,124.6313,236.587,0.2419,-0.1301
-88.8329,34.2479,165.1899,219.5323,54.3424,356.8849,0.0087,72.3638,559.255,177.9514,323.3488,103.8165,166.1568,31.39,107.237,210.7873,0.3394,-0.2033
-88.9573,39.5705,178.8346,260.5364,81.7017,422.186,-0.0202,79.3459,615.5199,187.514,350.9032,90.3668,173.8229,37.5585,119.9808,230.2962,0.3904,-0.221
-88.4312,31.0204,179.3928,247.5442,68.1514,320.7778,0.007,66.2595,415.3657,211.8058,368.7212,121.177,171.6383,18.7769,111.8574,221.3893,0.2001,-0.1175
-88.4834,37.435,164.0088,254.2784,90.2697,401.9506,0.0076,78.7865,600.1225,205.0255,389.7981,135.5196,182.6194,37.9785,125.3441,241.7248,0.379,-0.2088
-88.1911,37.9862,173.7091,250.1311,76.4219,405.1854,0.0029,60.903,372.3305,241.4633,407.3291,157.198,188.3784,16.1309,110.7847,223.9005,0.155,-0.1004
-87.9121,25.5647,194.232,267.4379,73.2059,273.9233,-0.0181,69.181,486.1731,202.8184,340.7119,73.274,175.1013,26.3704,109.2783,212.3521,0.2717,-0.1711
-88.4807,25.3283,161.7112,231.2019,69.4907,258.4587,0.0304,73.9084,511.7147,228.9436,442.5448,211.3429,185.4306,30.3566,128.3174,257.1142,0.2973,-0.1585
-88.4466,33.7183,161.7284,233.7024,71.974,353.6868,0.0175,83.0605,679.8945,144.1621,281.9871,48.2846,155.7981,37.6599,104.6649,209.1871,0.433,-0.2502
-88.6407,31.1238,170.0363,229.9694,59.9331,328.0521,0.0034,72.3254,540.1441,203.4686,373.7992,143.8298,177.1139,31.7587,116.0882,232.5492,0.3241,-0.1861
-88.0958,19.6451,181.5821,249.6114,68.0292,226.1544,0.0098,73.7855,599.4939,181.5821,339.2742,89.6628,170.3601,35.6381,114.3882,220.3413,0.3765,-0.2186
-88.0539,23.6524,171.4281,235.6365,64.2084,256.2847,0.0208,81.1562,490.3287,184.3258,341.4143,105.7778,164.2627,24.7947,110.2283,222.957,0.2734,-0.1523
-88.2737,28.9399,182.3614,246.6991,64.3376,299.1828,0.0103,71.0258,400.0836,191.3673,324.1751,77.476,159.8702,15.9181,104.3329,210.5879,0.1835,-0.1057
-88.2764,37.7192,199.2722,322.9128,123.6406,403.7539,-0.0064,65.8213,383.4088,224.1053,379.7619,56.8491,171.5892,15.4649,117.0777,227.9333,0.168,-0.0907
-88.1811,36.2558,152.3816,231.2107,78.8291,381.3875,0.0525,68.2954,381.2486,278.8201,520.7634,289.5527,197.0429,17.7913,130.2873,268.919,0.1631,-0.0891
-88.027,35.2564,194.8539,293.4728,98.6189,373.5545,-0.0551,62.7693,454.7493,248.6511,416.6773,123.2045,198.1765,26.1227,119.6664,230.8295,0.2378,-0.1552
-88.5744,29.954,188.1091,275.3699,87.2608,315.0795,-0.0161,81.0124,520.6369,223.2802,429.0666,153.6966,182.3167,30.4897,133.1935,261.0082,0.3055,-0.1575
-88.7566,33.9117,158.6644,217.7836,59.1192,355.6676,0.0219,87.7573,673.4933,153.3194,294.2674,76.4838,161.5683,38.745,107.4105,215.3573,0.4314,-0.2489
-87.4613,38.0834,169.9705,262.5128,92.5423,404.5809,0.0033,69.6976,431.8715,207.6834,349.7019,87.1891,173.8603,20.7474,107.481,214.7399,0.2168,-0.1352
-88.3373,38.9722,158.055,222.2429,64.1879,419.2405,0.0331,77.8783,502.7598,160.0049,287.3944,65.1514,153.1804,23.8517,99.0088,200.6968,0.2817,-0.1652
-88.9733,29.7939,213.3068,286.8042,73.4974,312.8824,-0.0697,83.8654,621.6705,174.5254,335.4125,48.6082,167.0167,36.2854,120.2131,229.9307,0.3926,-0.2112
-88.1184,38.6591,140.7124,229.337,88.6246,423.1938,0.0768,74.5947,446.3583,251.6426,475.2055,245.8684,189.6945,24.1501,129.5568,261.4964,0.2312,-0.1217
-88.3559,33.1529,182.7967,251.5566,68.7599,340.7296,-0.0186,75.4631,489.9791,178.167,320.4288,68.8722,159.6452,23.9129,107.9314,215.7541,0.2717,-0.154
-88.5963,38.7494,199.3777,276.8877,77.51,414.4207,-0.0143,67.0954,382.131,212.1489,341.1053,64.2176,167.122,15.1169,110.8444,216.4599,0.1666,-0.0969
-87.2753,28.5368,185.5369,272.4386,86.9017,297.4656,0.0173,72.9331,418.9737,166.9905,292.9102,20.4716,148.8866,16.2358,100.141,201.8627,0.1999,-0.1105
-88.506,24.8521,178.224,235.4469,57.2228,265.8273,0.0105,75.7287,511.8479,160.7219,300.8357,65.3888,153.0435,24.4718,103.2367,209.2723,0.2896,-0.1628
-88.1177,28.5658,148.6066,202.5262,53.9197,307.4342,0.0631,71.2118,468.8042,195.0387,353.5515,151.0253,170.1243,23.9448,108.387,215.13,0.254,-0.15
-88.5806,38.0221,210.2807,306.2189,95.9382,402.3965,-0.0603,69.5247,415.1759,216.0245,366.0557,59.8368,170.1832,18.2154,117.8388,228.6601,0.1994,-0.1064
-88.5445,31.029,223.9983,309.0668,85.0684,322.7487,-0.0517,72.1348,402.6894,194.3936,337.0319,27.9651,155.6198,15.6457,113.9927,224.4765,0.1852,-0.0925
-88.4244,29.8385,233.9004,317.4626,83.5622,285.6932,-0.1183,65.5823,484.62,233.9004,388.7521,71.2895,185.042,27.535,124.9071,235.8239,0.2705,-0.1594
-88.2196,32.6794,174.8491,248.0355,73.1863,344.1276,0.0121,78.4615,466.8606,174.8491,323.6503,75.6149,156.9105,21.2504,107.296,215.4056,0.2479,-0.1343
-88.5092,26.1335,227.7346,312.6091,84.8745,243.1007,-0.0753,72.5249,567.8699,197.6204,352.4432,39.834,175.3406,33.7085,119.5143,226.5635,0.3492,-0.1993
-88.5638,34.5153,152.2496,208.9756,56.726,362.5402,0.0347,81.6545,544.1278,167.7226,314.1704,105.1948,161.1855,28.8108,104.6203,212.6924,0.3231,-0.1856
-88.8421,25.5267,164.3435,215.6544,51.3109,273.4295,0.0353,79.1258,603.0939,152.8124,293.2017,77.5473,156.3988,32.2249,103.2845,209.4957,0.3722,-0.2139
-88.5928,41.8281,192.8552,327.5029,134.6477,451.8545,-0.0461,72.6369,475.2095,254.2726,455.8459,128.343,192.8552,27.3597,137.2673,258.6187,0.2609,-0.141
-87.9021,22.5385,194.9846,277.7862,82.8016,245.9017,0.0052,67.0386,422.6997,215.622,375.473,97.6868,174.1364,19.764,112.9818,222.2091,0.2075,-0.1221
-88.7687,39.5262,185.5896,258.6887,73.0991,422.0095,-0.0215,73.9636,394.9205,210.6286,364.0178,105.3291,166.0013,15.9964,115.8489,228.6427,0.1788,-0.0963
-88.6115,40.3387,179.0436,247.9667,68.9231,441.039,0.0012,70.7965,490.1595,195.288,328.579,80.6122,171.2216,25.9795,106.8142,211.8008,0.2751,-0.1722
