Model_Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,GNaK,GCaL,GJrel,GJup,Ca50,Myo,Cao
625,1.09374,0.611695,1.47961,0.971647,0.782512,0.839344,0.626959,1.03887,0.735452,1.18702,0.795582,1,1,1
633,1.31633,1.05879,1.3942,1.28695,1.39748,1.41944,1.44632,1.10837,1.15867,1.08159,0.998404,1,1,1
637,1.15817,0.65298,1.17174,0.533612,1.38858,0.880885,1.16878,1.49095,1.2594,1.26588,0.871762,1,1,1
639,0.673534,1.13702,1.43045,1.33468,0.977156,0.698683,0.781341,1.48734,1.10592,0.768854,0.671859,1,1,1
641,1.35032,1.30158,0.630857,1.07532,1.40109,1.08992,0.504582,1.28524,0.681958,1.06863,0.771417,1,1,1
643,1.28545,0.785777,1.15202,0.884954,0.791319,1.28014,0.56894,1.01397,0.616262,1.19951,1.19169,1,1,1
644,0.96473,1.32682,1.07016,0.924031,0.63063,1.17153,0.923816,1.29586,0.99322,0.865434,0.733322,1,1,1
648,1.39741,0.896886,0.762037,1.23797,0.971314,0.821165,0.782825,0.955928,0.873302,0.68506,0.798357,1,1,1
652,0.951337,1.08477,0.643243,1.1526,0.814698,0.778798,1.37551,1.01102,1.27127,1.15124,0.972766,1,1,1
653,0.579137,1.32008,0.616021,0.738191,0.766825,1.49295,1.42728,1.44791,1.08828,1.41906,0.883258,1,1,1
654,1.38829,1.40579,0.667782,1.39764,0.759953,1.04761,1.45456,1.04704,1.39893,1.21582,1.40821,1,1,1
655,1.29832,1.15423,0.642034,1.38383,0.611145,0.729973,0.557001,1.37316,0.653017,1.00707,1.41008,1,1,1
657,1.1829,0.647095,0.662918,0.717169,0.893099,1.28763,1.03871,0.729943,1.23715,1.04654,0.763382,1,1,1
658,1.24916,0.607823,0.580819,1.35128,1.45567,1.36262,1.42444,1.16871,1.30566,0.570731,1.03386,1,1,1
659,1.14296,1.23314,1.21423,0.611901,1.32396,0.875682,0.524791,0.506006,0.712137,0.587871,0.786521,1,1,1
